"month_of_2023","users_in_month","orders_in_month","aov_month","avg_order_rating_month","money_transfer_ratio_month","avg_first_to_last_order_days","repeat_within_30d_lower_bound"
2023-01-01,465,499,2871.54,4.18,0.21,12.8,0.0280
2023-02-01,1063,1115,2574.48,4.17,0.22,7.0,0.0151
2023-03-01,1663,1762,2786.83,4.20,0.21,8.2,0.0174
2023-04-01,1435,1511,3161.71,4.15,0.19,7.1,0.0181
2023-05-01,2197,2322,2792.15,4.22,0.20,7.7,0.0173
2023-06-01,1984,2107,2933.56,4.20,0.20,7.5,0.0181
2023-07-01,2463,2604,2787.18,4.23,0.21,6.2,0.0219
2023-08-01,2595,2742,2836.70,4.32,0.20,5.5,0.0162
2023-09-01,2591,2737,3280.24,4.27,0.21,5.1,0.0166
2023-10-01,2832,2954,3248.57,4.20,0.21,3.8,0.0162
2023-11-01,4703,4892,3188.84,4.01,0.19,2.4,0.0187
2023-12-01,3589,3696,3169.21,4.08,0.20,2.2,0.0100
